source_url,target_url,anchor_text,target_status,redirect_chain_len
https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,"Revenue & GrowthRevenue & GrowthCash Flow Crisis Every Month? Breaking the Feast-or-Famine CycleStop the monthly panic of making rent. Build predictable income, manage seasonal swings, and create the cash buffer that lets you sleep at night.24 March 2025·2 min read",200,1
https://www.orangejelly.co.uk/licensees-guide/pub-business-plan-template-guide,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,breaking the cash flow crisis cycle,200,1
https://www.orangejelly.co.uk/licensees-guide/brewery-tie-improve-your-deal,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,Read article,200,1
https://www.orangejelly.co.uk/licensees-guide/christmas-pub-promotion-ideas,https://www.orangejelly.co.uk/services,pub marketing services,200,1
https://www.orangejelly.co.uk/licensees-guide/email-marketing-pub-retention,https://www.orangejelly.co.uk/services,pub marketing services,200,1
https://www.orangejelly.co.uk/licensees-guide/quiz-night-ideas,https://www.orangejelly.co.uk/services,pub consultancy services,200,1
https://www.orangejelly.co.uk/licensees-guide/how-to-run-successful-pub-events,https://www.orangejelly.co.uk/services,pub marketing services,200,1
https://www.orangejelly.co.uk/licensees-guide/kitchen-nightmares-chef-quits,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,Read article,200,1
https://www.orangejelly.co.uk/licensees-guide/menu-engineering-lift-average-spend,https://www.orangejelly.co.uk/services,pub consultancy services,200,1
https://www.orangejelly.co.uk/licensees-guide/pub-differentiation-strategies,https://www.orangejelly.co.uk/licensees-guide/beat-chain-pubs,beating chain pubs,200,1
https://www.orangejelly.co.uk/licensees-guide/compete-with-wetherspoons,https://www.orangejelly.co.uk/licensees-guide/beat-chain-pubs,beating chain pubs,200,1
https://www.orangejelly.co.uk/licensees-guide/does-your-pub-need-a-website,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,local pub marketing guide,200,1
https://www.orangejelly.co.uk/licensees-guide/midweek-pub-offers-that-work,https://www.orangejelly.co.uk/licensees-guide/fill-empty-seats-midweek-offers,filling empty seats with midweek offers,200,1
https://www.orangejelly.co.uk/licensees-guide/pub-chalkboard-a-board-ideas,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,local marketing strategy,200,1
https://www.orangejelly.co.uk/licensees-guide/google-business-profile-pub-guide,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,local pub marketing guide,200,1
https://www.orangejelly.co.uk/licensees-guide/pub-vat-accounting-guide,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,breaking the cash flow crisis cycle,200,1
https://www.orangejelly.co.uk/licensees-guide,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,Revenue & GrowthRevenue & GrowthCash Flow Crisis Every Month? Breaking the Feast-or-Famine CycleCash Flow Crisis Every Month? Breaking the Feast-or-Famine Cycle The monthly panic is not just about revenue. It is about timing. Rent and wages come on fixed...24 March 2025·2 min read,200,1
https://www.orangejelly.co.uk/licensees-guide/profitable-pub-food-menu-ideas,https://www.orangejelly.co.uk/services,pub marketing services,200,1
https://www.orangejelly.co.uk/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,local pub marketing,200,1
https://www.orangejelly.co.uk/licensees-guide/how-much-profit-does-a-pub-make,https://www.orangejelly.co.uk/licensees-guide/pub-wages-labour-costs-uk,pub wages and labour costs,404,0
https://www.orangejelly.co.uk/services/social-media-marketing-for-pubs,https://www.orangejelly.co.uk/services,Services,200,1
https://www.orangejelly.co.uk/services/paid-social-for-pubs,https://www.orangejelly.co.uk/services,Services,200,1
https://www.orangejelly.co.uk/services/content-creation-for-pubs,https://www.orangejelly.co.uk/services,Services,200,1
https://www.orangejelly.co.uk/licensees-guide/beat-chain-pubs,https://www.orangejelly.co.uk/licensees-guide/beat-chain-pubs,beating chain pubs,200,1
