url,status,final_url,is_redirect,redirect_chain,canonical,canonical_status,robots_meta,x_robots_tag,in_sitemap,schema_types,content_type,missing_alt_count,collected_at
https://www.orangejelly.co.uk/,200,https://www.orangejelly.co.uk/,no,none,https://www.orangejelly.co.uk,self,"index, follow",,yes,"Answer, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-marketing-plan-2026-monthly-guide,200,https://www.orangejelly.co.uk/licensees-guide/pub-marketing-plan-2026-monthly-guide,no,none,https://www.orangejelly.co.uk/licensees-guide/pub-marketing-plan-2026-monthly-guide,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/autumn-rugby-nations-championship-pubs,200,https://www.orangejelly.co.uk/licensees-guide/autumn-rugby-nations-championship-pubs,no,none,https://www.orangejelly.co.uk/licensees-guide/autumn-rugby-nations-championship-pubs,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-new-years-eve-planning-guide,200,https://www.orangejelly.co.uk/licensees-guide/pub-new-years-eve-planning-guide,no,none,https://www.orangejelly.co.uk/licensees-guide/pub-new-years-eve-planning-guide,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/category/property,200,https://www.orangejelly.co.uk/licensees-guide/category/property,no,none,https://www.orangejelly.co.uk/licensees-guide/category/property,self,"index, follow",,yes,"BlogPosting, BreadcrumbList, CollectionPage, ContactPoint, GeoCoordinates, ImageObject, ItemList, ListItem, Organization, Person, PostalAddress, ProfessionalService, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/cashflow-fixes-when-trade-drops,200,https://www.orangejelly.co.uk/licensees-guide/cashflow-fixes-when-trade-drops,no,none,https://www.orangejelly.co.uk/licensees-guide/cashflow-fixes-when-trade-drops,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,200,https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,no,none,https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,self,"index, follow",,yes,"BlogPosting, BreadcrumbList, CollectionPage, ContactPoint, GeoCoordinates, ImageObject, ItemList, ListItem, Organization, Person, PostalAddress, ProfessionalService, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/low-budget-pub-marketing-ideas,200,https://www.orangejelly.co.uk/licensees-guide/low-budget-pub-marketing-ideas,no,none,https://www.orangejelly.co.uk/licensees-guide/low-budget-pub-marketing-ideas,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/ways-to-work/growth-fix,200,https://www.orangejelly.co.uk/ways-to-work/growth-fix,no,none,https://www.orangejelly.co.uk/ways-to-work/growth-fix,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"BreadcrumbList, ContactPoint, GeoCoordinates, ImageObject, ListItem, Offer, Organization, Person, PostalAddress, ProfessionalService, Service, UnitPriceSpecification, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,200,https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,no,none,https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,self,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-07-07T06:12:25.467642+00:00
